binary,total,easy,medium,medium_conflict,medium_partial,hard,easy_pct,medium_pct,hard_pct
998-998-specrand_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
998-specrand_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
999-specrand_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
Xalan_base.arm32-gcc81-O3,16613,149,743,0,743,15721,0.9,4.5,94.6
astar_base.arm32-gcc81-O3,4,0,1,0,1,3,0.0,25.0,75.0
bzip2_base.arm32-gcc81-O3,36,12,10,0,10,14,33.3,27.8,38.9
dealII_base.arm32-gcc81-O3,2057,85,96,0,96,1876,4.1,4.7,91.2
gcc_base.arm32-gcc81-O3,1820,931,388,4,384,501,51.2,21.3,27.5
gobmk_base.arm32-gcc81-O3,66,14,15,0,15,37,21.2,22.7,56.1
h264ref_base.arm32-gcc81-O3,386,18,305,0,305,63,4.7,79.0,16.3
hmmer_base.arm32-gcc81-O3,58,41,1,0,1,16,70.7,1.7,27.6
lbm_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
libquantum_base.arm32-gcc81-O3,6,1,2,0,2,3,16.7,33.3,50.0
lighttpd,154,26,1,0,1,127,16.9,0.6,82.5
mcf_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
milc_base.arm32-gcc81-O3,15,6,1,0,1,8,40.0,6.7,53.3
namd_base.arm32-gcc81-O3,12,1,1,0,1,10,8.3,8.3,83.3
omnetpp_base.arm32-gcc81-O3,1150,19,4,0,4,1127,1.7,0.3,98.0
openssl,82,62,4,0,4,16,75.6,4.9,19.5
povray_base.arm32-gcc81-O3,323,109,7,2,5,207,33.7,2.2,64.1
scp,26,11,3,0,3,12,42.3,11.5,46.2
sftp,48,11,6,0,6,31,22.9,12.5,64.6
sjeng_base.arm32-gcc81-O3,34,18,1,0,1,15,52.9,2.9,44.1
soplex_base.arm32-gcc81-O3,816,59,7,0,7,750,7.2,0.9,91.9
specrand_base.arm32-gcc81-O3,3,0,1,0,1,2,0.0,33.3,66.7
sphinx_livepretend_base.arm32-gcc81-O3,17,3,1,0,1,13,17.6,5.9,76.5
ssh,174,45,19,0,19,110,25.9,10.9,63.2
ssh-add,64,35,7,0,7,22,54.7,10.9,34.4
ssh-agent,59,34,6,0,6,19,57.6,10.2,32.2
ssh-keygen,124,38,8,0,8,78,30.6,6.5,62.9
ssh-keyscan,88,45,8,0,8,35,51.1,9.1,39.8
